rssi,node,millis
-71.14671509999194,192.168.4.7,16704
-65.24424373006686,192.168.4.10,16704
-71.17327507051104,192.168.4.7,16720
-69.02945541739028,192.168.4.6,16720
-66.85088185670995,192.168.4.5,16720
-61.80448850713275,192.168.4.9,16720
-56.937561323502806,192.168.4.11,16720
-65.17438776283576,192.168.4.10,16720
-69.02853856658463,192.168.4.6,16752
-71.19900831579352,192.168.4.7,16752
-65.23121310086151,192.168.4.10,16752
-57.00175829401138,192.168.4.11,16752
-66.85552341682012,192.168.4.5,16752
-61.81057414045835,192.168.4.9,16752
-65.22401619324836,192.168.4.10,16800
-57.03283029342153,192.168.4.11,16800
-61.84759707727253,192.168.4.9,16800
-69.05877698370794,192.168.4.6,16800
-71.47295442341854,192.168.4.7,16800
-61.852340881799314,192.168.4.9,16832
-71.42710616637794,192.168.4.7,16832
-57.06293512310671,192.168.4.11,16832
-65.15478984314721,192.168.4.10,16832
-66.89114722982609,192.168.4.5,16832
-69.0880741777959,192.168.4.6,16832
-71.47606521038513,192.168.4.7,16848
-66.86340873108789,192.168.4.5,16848
-61.85693702720526,192.168.4.9,16848
-57.1543563465665,192.168.4.11,16848
-65.18109847093001,192.168.4.10,16848
-57.21180519699918,192.168.4.11,16864
-69.14758617538708,192.168.4.6,16864
-66.83653364110978,192.168.4.5,16864
-65.17546146784402,192.168.4.10,16864
-71.74138743855195,192.168.4.7,16864
-61.79913665098402,192.168.4.9,16864
-61.74313541144205,192.168.4.9,16880
-69.20524575912057,192.168.4.6,16880
-57.20521239396396,192.168.4.11,16880
-65.16999992622863,192.168.4.10,16880
-66.87274854367041,192.168.4.5,16880
-71.81169066466,192.168.4.7,16880
-57.229951532636974,192.168.4.11,16896
-66.87670946532005,192.168.4.5,16896
-61.657750578026025,192.168.4.9,16896
-71.84867884978938,192.168.4.7,16896
-65.16470838454198,192.168.4.10,16896
-69.16773040060511,192.168.4.6,16896
-66.91167382583942,192.168.4.5,16912
-69.13138277250863,192.168.4.6,16912
-71.79113552057925,192.168.4.7,16912
-65.12845482193764,192.168.4.10,16912
-61.57502349522486,192.168.4.9,16912
-57.25392062283195,192.168.4.11,16912
-66.88329640136583,192.168.4.5,16928
-61.52599816525065,192.168.4.9,16928
-69.12729325651259,192.168.4.6,16928
-65.15558317276636,192.168.4.10,16928
-57.27714363364005,192.168.4.11,16928
-71.67312986556479,192.168.4.7,16928
-66.88692900269858,192.168.4.5,16944
-61.54075229204495,192.168.4.9,16944
-57.26851705878065,192.168.4.11,16944
-71.58992407194951,192.168.4.7,16944
-69.12333103377483,192.168.4.6,16944
-65.15074037746521,192.168.4.10,16944
-69.11949214207245,192.168.4.6,16960
-65.14604832254327,192.168.4.10,16960
-71.54043493358307,192.168.4.7,16960
-61.492793712552505,192.168.4.9,16960
-57.29128573026987,192.168.4.11,16960
-61.41520119750713,192.168.4.9,16976
-66.95270199177587,192.168.4.5,16976
-65.17262904522698,192.168.4.10,16976
-57.21996549963708,192.168.4.11,16976
-69.05351928392898,192.168.4.6,16976
-71.46135949985968,192.168.4.7,16976
-61.37115061296032,192.168.4.9,16992
-71.415872156556,192.168.4.7,16992
-66.9541742240772,192.168.4.5,16992
-57.24424542235633,192.168.4.11,16992
-65.13612893839425,192.168.4.10,16992
-69.0518534036665,192.168.4.6,16992
-66.98672735995366,192.168.4.5,17024
-71.58968779852883,192.168.4.7,17024
-57.20551613194663,192.168.4.11,17024
-69.0191126475267,192.168.4.6,17024
-61.32847117903948,192.168.4.9,17024
-65.16301841905482,192.168.4.10,17024
-69.01851773332137,192.168.4.6,17072
-65.62484512787562,192.168.4.10,17072
-61.380500404112766,192.168.4.9,17072
-71.57133274544013,192.168.4.7,17072
-57.23024581621513,192.168.4.11,17072
-67.32953451659837,192.168.4.5,17072
-71.58467575544789,192.168.4.7,17088
-68.98681460757749,192.168.4.6,17088
-57.28533247555713,192.168.4.11,17088
-65.57426901348477,192.168.4.10,17088
-61.46203685884035,192.168.4.9,17088
-67.31927718489396,192.168.4.5,17088
-67.3093391303798,192.168.4.5,17104
-68.9872250257177,192.168.4.6,17104
-61.50990862114696,192.168.4.9,17104
-71.597603441155,192.168.4.7,17104
-57.2764510088414,192.168.4.11,17104
-65.52526716811975,192.168.4.10,17104
-61.587417021320086,192.168.4.9,17120
-71.57900200011022,192.168.4.7,17120
-67.29971041500087,192.168.4.5,17120
-65.47779058993409,192.168.4.10,17120
-68.98762266888355,192.168.4.6,17120
-57.3612261809056,192.168.4.11,17120
-71.59210629121887,192.168.4.7,17136
-68.98800793471817,192.168.4.6,17136
-67.29038141004138,192.168.4.5,17136
-57.287728932867445,192.168.4.11,17136
-65.46291853160157,192.168.4.10,17136
-61.63138610924486,192.168.4.9,17136
-67.28134278649596,192.168.4.5,17152
-65.44850939180367,192.168.4.10,17152
-61.58060639552041,192.168.4.9,17152
-57.278772872276726,192.168.4.11,17152
-68.98838120848743,192.168.4.6,17152
-71.9160699888762,192.168.4.7,17168
-61.56253401744802,192.168.4.9,17168
-67.24145877644246,192.168.4.5,17168
-69.01986959271808,192.168.4.6,17168
-65.46567549064721,192.168.4.10,17168
-57.27009558455998,192.168.4.11,17168
-57.16830820469692,192.168.4.11,17184
-61.482770714908014,192.168.4.9,17184
-67.23394295447288,192.168.4.5,17184
-69.01925111728524,192.168.4.6,17184
-71.82530226573105,192.168.4.7,17184
-65.45118053573421,192.168.4.10,17184
-61.49887037082087,192.168.4.9,17200
-67.22666107546046,192.168.4.5,17200
-69.0186518929698,192.168.4.6,17200
-71.76848657506163,192.168.4.7,17200
