rssi,node,millis
-65.08919308663435,192.168.4.10,33344
-77.64840573218451,192.168.4.11,33344
-78.8914115309457,192.168.4.6,33344
-64.98594557324397,192.168.4.10,33392
-77.47238409482863,192.168.4.11,33392
-78.80079230946666,192.168.4.6,33392
-78.74437769644554,192.168.4.6,33440
-64.82002972665248,192.168.4.10,33440
-77.23953834928346,192.168.4.11,33440
-78.59580603187334,192.168.4.6,33456
-64.69343107438546,192.168.4.10,33456
-77.01396341265007,192.168.4.11,33456
-64.67053839046207,192.168.4.10,33472
-76.76427409412813,192.168.4.11,33472
-78.420636476593,192.168.4.6,33472
-76.49122365807636,192.168.4.11,33488
-78.34488787114635,192.168.4.6,33488
-64.68137595408673,192.168.4.10,33488
-76.25784798937396,192.168.4.11,33552
-64.65903801271445,192.168.4.10,33552
-78.17768566332511,192.168.4.6,33552
-75.96945133123856,192.168.4.11,33568
-64.67018049549377,192.168.4.10,33568
-78.0470366330683,192.168.4.6,33568
-77.95177384738864,192.168.4.6,33680
-75.72120241903299,192.168.4.11,33680
-64.74609112211299,192.168.4.10,33680
-64.78683196412513,192.168.4.10,33696
-77.79700297747802,192.168.4.6,33696
-75.5118461539865,192.168.4.11,33696
-64.76133407092382,192.168.4.10,33712
-77.58461208822,192.168.4.6,33712
-75.34016708416391,192.168.4.11,33712
-77.4101471434515,192.168.4.6,33744
-75.20498811245449,192.168.4.11,33744
-64.70439736972396,192.168.4.10,33744
-77.24117025362138,192.168.4.6,33792
-75.04287955780642,192.168.4.11,33792
-64.68167978056057,192.168.4.10,33792
-65.0,192.168.4.7,33792
-77.077505367478,192.168.4.6,33840
-74.82353797840936,192.168.4.11,33840
-63.4992503748126,192.168.4.7,33840
-64.8528288761261,192.168.4.10,33840
-76.95020303159727,192.168.4.6,33904
-74.64217732189648,192.168.4.11,33904
-64.98601702089744,192.168.4.10,33904
-74.49761196058225,192.168.4.11,33920
-76.76446816573183,192.168.4.6,33920
-65.114680993792,192.168.4.10,33920
-63.332556480507165,192.168.4.7,33920
-74.32641194787362,192.168.4.11,33952
-65.11101162220062,192.168.4.10,33952
-76.64698111160413,192.168.4.6,33952
-74.19168776635968,192.168.4.11,33968
-65.1394080046955,192.168.4.10,33968
-64.50349525748751,192.168.4.7,33968
-76.50197488905359,192.168.4.6,33968
-76.45511383207212,192.168.4.6,34000
-74.03002315529234,192.168.4.11,34000
-65.19874556792652,192.168.4.10,34000
-65.40818017050887,192.168.4.7,34000
-73.84225809572905,192.168.4.11,34032
-76.37852617534016,192.168.4.6,34032
-65.84409789811976,192.168.4.7,34032
-65.19241664480599,192.168.4.10,34032
-76.33552862417044,192.168.4.6,34048
-66.30077868437242,192.168.4.7,34048
-73.72261920252674,192.168.4.11,34048
-65.21809771588936,192.168.4.10,34048
-73.5755710937265,192.168.4.11,34080
-66.64405596819236,192.168.4.7,34080
-65.17941308303276,192.168.4.10,34080
-76.23150343485507,192.168.4.6,34080
-65.14200307843515,192.168.4.10,34096
-76.16191775055198,192.168.4.6,34096
-73.43310449466065,192.168.4.11,34096
-66.79810992622609,192.168.4.7,34096
-66.40755687413177,192.168.4.7,34112
-76.06332963456154,192.168.4.6,34112
-65.0424564280165,192.168.4.10,34112
-65.99297337808973,192.168.4.7,34176
-64.94616815790384,192.168.4.10,34176
-73.3573479283003,192.168.4.11,34176
-76.06135523248409,192.168.4.6,34176
-73.28395140584762,192.168.4.11,34208
-65.55953498599492,192.168.4.7,34208
-64.82140612569307,192.168.4.10,34208
-76.05944257315484,192.168.4.6,34208
-73.27511066683508,192.168.4.11,34352
-65.35292537543046,192.168.4.7,34352
-64.7954613619961,192.168.4.10,34352
-76.11993103302376,192.168.4.6,34352
-73.2976795178502,192.168.4.11,34368
-64.70724368034878,192.168.4.10,34368
-65.25071501588064,192.168.4.7,34368
-76.20969693028098,192.168.4.6,34368
-76.265492511578,192.168.4.6,34384
-64.65341274819889,192.168.4.10,34384
-73.35067912811212,192.168.4.11,34384
-65.23288798342139,192.168.4.7,34384
-73.40202795294593,192.168.4.11,34400
-65.08271435299851,192.168.4.7,34400
-64.66433232038735,192.168.4.10,34400
-76.28838201649184,192.168.4.6,34400
-76.3105566287455,192.168.4.6,34416
-73.42064456319946,192.168.4.11,34416
-64.67490001508764,192.168.4.10,34416
-65.07742938439061,192.168.4.7,34416
-64.74804925329076,192.168.4.10,34464
-76.36319756564366,192.168.4.6,34464
-64.95083169409445,192.168.4.7,34464
-73.50094642809026,192.168.4.11,34464
-64.78741073155979,192.168.4.10,34480
-64.95369952634591,192.168.4.7,34480
-76.4453518467416,192.168.4.6,34480
-73.51648305175517,192.168.4.11,34480
-73.59379950955392,192.168.4.11,34496
-64.85693210533944,192.168.4.10,34496
-76.52494175740783,192.168.4.6,34496
-64.78827968436416,192.168.4.7,34496
-76.60204776822886,192.168.4.6,34512
-73.66870820954786,192.168.4.11,34512
-64.85362781569447,192.168.4.7,34512
-64.92423026658301,192.168.4.10,34512
-64.98937982919766,192.168.4.10,34544
-64.80917954666258,192.168.4.7,34544
-73.7101529667136,192.168.4.11,34544
-65.02108278453582,192.168.4.10,34624
-73.8125690583491,192.168.4.11,34624
