rssi,node,millis
-69.22025854327941,192.168.4.5,24864
-69.24457076366032,192.168.4.5,24880
-65.26606308941982,192.168.4.2,24880
-65.24458606660458,192.168.4.2,24896
-69.26812247154444,192.168.4.5,24896
-69.25976414698407,192.168.4.5,24912
-64.77282214030203,192.168.4.2,24912
-69.28283778864458,192.168.4.5,24928
-64.50455650602447,192.168.4.2,24928
-69.27402230951299,192.168.4.5,24944
-64.33611171797351,192.168.4.2,24944
-64.18684769490561,192.168.4.2,24960
-69.29664772301672,192.168.4.5,24960
-64.05358209787269,192.168.4.2,24976
-69.25624020519648,192.168.4.5,24976
-69.27941638320469,192.168.4.5,24992
-69.30186886509723,192.168.4.5,25008
-63.87547628231723,192.168.4.2,25008
-69.29246360239162,192.168.4.5,25024
-63.7704415665331,192.168.4.2,25024
-63.67496157291615,192.168.4.2,25040
-69.3145068566092,192.168.4.5,25040
-63.58774658150858,192.168.4.2,25056
-69.30470895825204,192.168.4.5,25056
-63.45733613109452,192.168.4.2,25072
-69.29521679059442,192.168.4.5,25072
-63.38609715293551,192.168.4.2,25120
-69.28602076892571,192.168.4.5,25120
-63.7478559352503,192.168.4.2,25152
-69.40170614362535,192.168.4.5,25152
-63.7132539033146,192.168.4.2,25184
-69.35804679607114,192.168.4.5,25184
-69.31574903060122,192.168.4.5,25200
-63.6359264223527,192.168.4.2,25200
-69.33705992185962,192.168.4.5,25232
-63.563781573032905,192.168.4.2,25232
-63.49629807780156,192.168.4.2,25248
-69.35770635242703,192.168.4.5,25248
-63.39073736065634,192.168.4.2,25264
-69.34656641324307,192.168.4.5,25264
-69.33577374090943,192.168.4.5,25280
-69.32531747933203,192.168.4.5,25296
-69.31518711457176,192.168.4.5,25312
-69.27423333943611,192.168.4.5,25328
-69.26569416172694,192.168.4.5,25344
-69.25742106953808,192.168.4.5,25360
-69.28054273628202,192.168.4.5,25376
-69.24067130496567,192.168.4.5,25392
-69.2020420565087,192.168.4.5,25408
-69.16461622482284,192.168.4.5,25424
-69.1594909496845,192.168.4.5,25440
-69.12339112409794,192.168.4.5,25456
-69.15068324051322,192.168.4.5,25472
-69.20825860014376,192.168.4.5,25488
-69.20177490377381,192.168.4.5,25504
-69.19549314018667,192.168.4.5,25536
-69.22053918938921,192.168.4.5,25552
-69.18254155591431,192.168.4.5,25568
-69.17685875819953,192.168.4.5,25584
-69.17135292669153,192.168.4.5,25600
-69.16601854583294,192.168.4.5,25632
-69.16085027239747,192.168.4.5,25648
-69.12471247404797,192.168.4.5,25664
-69.15196037395498,192.168.4.5,25680
-69.14722984550784,192.168.4.5,25696
-69.1737764200384,192.168.4.5,25712
-69.1994964485959,192.168.4.5,25728
-69.19328623474262,192.168.4.5,25744
-63.457507102610165,192.168.4.2,25776
-69.21839865274657,192.168.4.5,25776
-63.47961857346954,192.168.4.2,25808
-69.21160009424742,192.168.4.5,25808
-63.50047811067443,192.168.4.2,25824
-69.20501319995317,192.168.4.5,25824
-63.55965482430695,192.168.4.2,25840
-69.19863137716689,192.168.4.5,25840
-69.25470565719557,192.168.4.5,25856
-63.65456005222436,192.168.4.2,25856
-69.24677702976803,192.168.4.5,25872
-63.66781109540271,192.168.4.2,25872
-63.718260248756536,192.168.4.2,25888
-69.23909523742631,192.168.4.5,25888
-63.72880156098495,192.168.4.2,25904
-69.23165259312353,192.168.4.5,25904
-69.22444164943637,192.168.4.5,25920
-63.77582820494087,192.168.4.2,25920
-69.21745519107475,192.168.4.5,25936
-63.78403361952194,192.168.4.2,25936
-69.24181431159724,192.168.4.5,25952
-63.82810082828685,192.168.4.2,25952
-69.23428711547808,192.168.4.5,25968
-63.87017601888558,192.168.4.2,25968
-69.2581221671894,192.168.4.5,25984
-63.945976514534586,192.168.4.2,25984
-63.94788346019807,192.168.4.2,26000
-69.25008737912889,192.168.4.5,26000
-69.24230271392035,192.168.4.5,26016
-63.9497089477804,192.168.4.2,26016
-69.23476038368807,192.168.4.5,26032
-64.02100621543637,192.168.4.2,26032
-69.22745284318184,192.168.4.5,26048
-64.12389656616756,192.168.4.2,26048
-69.25150038156765,192.168.4.5,26080
-64.22260149165649,192.168.4.2,26080
