rssi,node,millis
-72.9992692721042,192.168.4.3,2960
-71.06789925629836,192.168.4.7,2976
-72.93206308197011,192.168.4.3,2976
-72.93640385797922,192.168.4.3,2992
-71.00105256093778,192.168.4.7,2992
-72.94027938065742,192.168.4.3,3008
-70.93651641709678,192.168.4.7,3008
-70.87419729758938,192.168.4.7,3024
-72.88543584916742,192.168.4.3,3024
-72.94785622201331,192.168.4.3,3072
-71.16727628931133,192.168.4.7,3072
-72.95066833831439,192.168.4.3,3088
-71.097806543377,192.168.4.7,3088
-71.03068442069608,192.168.4.7,3120
-72.95323703034865,192.168.4.3,3120
-72.95559366757831,192.168.4.3,3136
-70.99776193287454,192.168.4.7,3136
-73.54436051507912,192.168.4.3,3152
-71.38053449237128,192.168.4.7,3152
-71.33657227093097,192.168.4.7,3168
-73.56600927899828,192.168.4.3,3168
-73.5860892971944,192.168.4.3,3184
-71.29406940447504,192.168.4.7,3184
-71.25297204492,192.168.4.7,3200
-73.64990596368003,192.168.4.3,3200
-73.62124491439255,192.168.4.3,3216
-71.18150964063499,192.168.4.7,3216
-71.11239386571049,192.168.4.7,3232
-73.59443568544339,192.168.4.3,3232
-71.0455404017618,192.168.4.7,3248
-73.94988097659078,192.168.4.3,3248
-71.04410059665362,192.168.4.7,3264
-73.95196045956527,192.168.4.3,3264
-71.01112185153751,192.168.4.7,3296
-73.91315949818453,192.168.4.3,3296
-73.87655541595704,192.168.4.3,3344
-71.01077087406681,192.168.4.7,3344
-71.38880207549188,192.168.4.7,3360
-71.31354051704818,192.168.4.7,3376
-73.80249955638196,192.168.4.3,3376
-73.77129028153811,192.168.4.3,3392
-71.27218683302162,192.168.4.7,3392
-74.16366260272143,192.168.4.3,3408
-71.20070227882213,192.168.4.7,3408
-71.19439217564343,192.168.4.7,3424
-74.08172606498722,192.168.4.3,3424
-74.00383814065917,192.168.4.3,3440
-71.18828421367529,192.168.4.7,3440
-74.00369615269828,192.168.4.3,3456
-71.1195661370219,192.168.4.7,3456
-74.00356086152468,192.168.4.3,3472
-71.08442772885893,192.168.4.7,3472
-73.96719133132787,192.168.4.3,3488
-71.05040944498856,192.168.4.7,3488
-71.04882886428672,192.168.4.7,3536
-73.96836927480713,192.168.4.3,3536
-73.93390498496322,192.168.4.3,3552
-70.98461687832818,192.168.4.7,3552
-73.97153649370941,192.168.4.3,3568
-70.98509879556629,192.168.4.7,3568
-70.98556543142213,192.168.4.7,3584
-73.93750645618613,192.168.4.3,3584
-73.93967962029141,192.168.4.3,3600
-70.95471356533912,192.168.4.7,3600
-70.95613070678286,192.168.4.7,3632
-73.90722437778379,192.168.4.3,3632
-70.98878569500907,192.168.4.7,3648
-73.91040834216085,192.168.4.3,3664
-73.84523647875939,192.168.4.3,3680
-70.98913640068444,192.168.4.7,3696
-73.81656358253572,192.168.4.3,3696
-70.95821196481658,192.168.4.7,3712
-73.82275354763247,192.168.4.3,3712
-73.79512727026429,192.168.4.3,3728
-70.9282624348251,192.168.4.7,3728
-73.80197455993299,192.168.4.3,3760
-70.89925634425097,192.168.4.7,3760
-70.83992301044611,192.168.4.7,3776
-73.77528748802226,192.168.4.3,3776
-73.78273462932732,192.168.4.3,3792
-70.81368942118529,192.168.4.7,3792
-70.78828051820558,192.168.4.7,3808
-73.72388006988226,192.168.4.3,3808
-73.73296297127062,192.168.4.3,3840
-70.73244925211006,192.168.4.7,3856
-73.74171740038749,192.168.4.3,3856
-70.77201569495021,192.168.4.7,3872
-70.71671202529433,192.168.4.7,3888
-73.71747841284892,192.168.4.3,3904
-70.69434746194696,192.168.4.7,3904
-73.69410139338463,192.168.4.3,3920
-70.64148445235914,192.168.4.7,3920
-70.59027809030545,192.168.4.7,3936
-73.70404036664148,192.168.4.3,3936
-73.71363116552529,192.168.4.3,3952
-70.54067579418285,192.168.4.7,3952
-70.55500074619226,192.168.4.7,3984
-73.65823650346263,192.168.4.3,3984
-70.5065106612901,192.168.4.7,4000
-73.6692587517547,192.168.4.3,4000
-70.52189758403857,192.168.4.7,4016
-73.67990235032865,192.168.4.3,4016
-70.53680318723441,192.168.4.7,4032
-70.4888956032474,192.168.4.7,4048
-73.65806700040912,192.168.4.3,4048
-70.50482706570459,192.168.4.7,4064
-73.6369733597175,192.168.4.3,4064
-70.48909263190029,192.168.4.7,4096
-73.61659254618137,192.168.4.3,4096
-70.4426844061606,192.168.4.7,4112
-73.59689712808355,192.168.4.3,4112
-70.4600520684715,192.168.4.7,4128
-73.60975279026597,192.168.4.3,4128
-70.47687729815412,192.168.4.7,4144
-73.59033560993643,192.168.4.3,4144
-70.43085965353741,192.168.4.7,4160
-73.5397630943162,192.168.4.3,4160
-70.44859223577348,192.168.4.7,4176
-73.55437940587413,192.168.4.3,4176
-70.46577131174114,192.168.4.7,4240
-73.53679495101186,192.168.4.3,4240
-73.48810537753451,192.168.4.3,4256
