millis,rssi,node,sequence
9,-74.0283712083948,192.168.4.5,49808
9,-70.94757310503735,192.168.4.11,49808
9,-71.01715338032683,192.168.4.11,49824
9,-71.73285760570944,192.168.4.2,49824
9,-74.65391875130418,192.168.4.3,49824
9,-71.70399952721476,192.168.4.2,49840
9,-74.43186465110946,192.168.4.3,49840
9,-87.33997131403646,192.168.4.12,49840
9,-74.55368594887473,192.168.4.5,49840
9,-82.78045437328878,192.168.4.7,49840
9,-71.06963441390742,192.168.4.11,49840
9,-79.0876834033419,192.168.4.10,49840
9,-77.85551913411898,192.168.4.9,49840
9,-78.96788042645431,192.168.4.10,49856
9,-71.68223064166651,192.168.4.2,49856
9,-78.87750794481033,192.168.4.10,49872
9,-71.66580943822079,192.168.4.2,49872
9,-74.40124247733343,192.168.4.6,49888
9,-74.264359729763,192.168.4.3,49888
9,-78.8093361249898,192.168.4.10,49888
9,-78.05531803498413,192.168.4.9,49888
9,-71.10922038140063,192.168.4.11,49888
9,-71.65342222060198,192.168.4.2,49888
9,-74.94993784938762,192.168.4.5,49904
9,-78.75791120643126,192.168.4.10,49904
9,-71.13908060355716,192.168.4.11,49904
9,-71.64407801140055,192.168.4.2,49920
9,-74.13800358969907,192.168.4.3,49920
9,-75.24884097874047,192.168.4.5,49936
9,-71.16160494687061,192.168.4.11,49936
9,-78.71911918922176,192.168.4.10,49936
9,-74.54837287707035,192.168.4.6,49936
9,-74.0426877380565,192.168.4.3,49936
9,-71.6370292738804,192.168.4.2,49936
9,-78.20572940164458,192.168.4.9,49936
10,-78.24734803535644,192.168.4.9,49952
10,-78.67893861387036,192.168.4.10,49952
10,-72.26087184345737,192.168.4.11,49952
10,-72.73115663890493,192.168.4.2,49952
10,-75.50706815819315,192.168.4.5,49952
10,-74.2778583285135,192.168.4.3,49952
10,-73.55650380776913,192.168.4.2,49968
10,-75.70185858188948,192.168.4.5,49968
10,-73.0900899954557,192.168.4.11,49968
10,-78.27872214178971,192.168.4.9,49968
10,-74.45525758450101,192.168.4.3,49968
10,-78.64862868440726,192.168.4.10,49968
10,-74.21708248340072,192.168.4.6,50016
10,-74.17909855398213,192.168.4.2,50016
10,-73.71560222079563,192.168.4.11,50016
10,-78.30238013225839,192.168.4.9,50016
10,-75.84879674419041,192.168.4.5,50016
10,-78.62576460577732,192.168.4.10,50016
10,-86.32774849960909,192.168.4.12,50016
10,-74.64874845724097,192.168.4.2,50032
