millis,node,x,y,rssi,distance,target_x,target_y
2908,2,42.5,0,-76.9384,34.8725,33.7593,33.7593
2908,5,0,42.5,-76.9384,34.8725,33.7593,33.7593
2908,1,0,0,-81.0342,47.7428,33.7593,33.7593
3008,2,42.5,0,-76.8583,34.6588,33.4588,33.4588
3008,5,0,42.5,-76.8583,34.6588,33.4588,33.4588
3008,1,0,0,-80.9178,47.3178,33.4588,33.4588
3108,2,42.5,0,-76.7791,34.4491,33.1582,33.1582
3108,5,0,42.5,-76.7791,34.4491,33.1582,33.1582
3108,1,0,0,-80.8003,46.8928,33.1582,33.1582
3208,2,42.5,0,-76.7009,34.2433,32.8577,32.8577
3208,5,0,42.5,-76.7009,34.2433,32.8577,32.8577
3208,1,0,0,-80.6818,46.4678,32.8577,32.8577
3308,2,42.5,0,-76.6239,34.0416,32.5572,32.5572
3308,5,0,42.5,-76.6239,34.0416,32.5572,32.5572
3308,1,0,0,-80.5622,46.0428,32.5572,32.5572
3408,2,42.5,0,-76.5479,33.844,32.2567,32.2567
3408,5,0,42.5,-76.5479,33.844,32.2567,32.2567
3408,1,0,0,-80.4414,45.6178,32.2567,32.2567
3508,2,42.5,0,-76.4732,33.6507,31.9562,31.9562
3508,5,0,42.5,-76.4732,33.6507,31.9562,31.9562
3508,1,0,0,-80.3196,45.1928,31.9562,31.9562
3608,2,42.5,0,-76.3997,33.4616,31.6556,31.6556
3608,5,0,42.5,-76.3997,33.4616,31.6556,31.6556
3608,1,0,0,-80.1966,44.7678,31.6556,31.6556
3708,2,42.5,0,-76.3274,33.2769,31.3551,31.3551
3708,5,0,42.5,-76.3274,33.2769,31.3551,31.3551
3708,1,0,0,-80.0724,44.3428,31.3551,31.3551
3808,2,42.5,0,-76.2566,33.0966,31.0546,31.0546
3808,5,0,42.5,-76.2566,33.0966,31.0546,31.0546
3808,1,0,0,-79.947,43.9178,31.0546,31.0546
3908,2,42.5,0,-76.187,32.9208,30.7541,30.7541
3908,5,0,42.5,-76.187,32.9208,30.7541,30.7541
3908,1,0,0,-79.8204,43.4928,30.7541,30.7541
