node,millis,rssi
192.168.4.6,48560,-82
192.168.4.2,48560,-74
192.168.4.4,48560,-73
192.168.4.3,48576,-75
192.168.4.6,48576,-86
192.168.4.2,48576,-72
192.168.4.4,48576,-73
192.168.4.3,48592,-77
192.168.4.6,48592,-93
192.168.4.2,48592,-73
192.168.4.4,48592,-73
192.168.4.3,48608,-77
192.168.4.6,48608,-85
192.168.4.2,48608,-74
192.168.4.4,48608,-72
192.168.4.3,48624,-73
192.168.4.6,48624,-81
192.168.4.2,48624,-73
192.168.4.4,48624,-73
192.168.4.3,48640,-73
192.168.4.6,48640,-82
192.168.4.2,48640,-74
192.168.4.4,48640,-73
192.168.4.3,48656,-73
192.168.4.6,48656,-83
192.168.4.2,48656,-75
192.168.4.4,48656,-74
192.168.4.3,48672,-70
192.168.4.6,48672,-81
192.168.4.2,48672,-74
192.168.4.4,48672,-73
192.168.4.3,48688,-72
192.168.4.6,48688,-82
192.168.4.2,48688,-72
192.168.4.4,48688,-72
192.168.4.3,48704,-75
192.168.4.6,48704,-94
192.168.4.2,48704,-76
192.168.4.4,48704,-73
192.168.4.3,48720,-76
192.168.4.6,48720,-85
192.168.4.2,48720,-73
192.168.4.4,48720,-74
192.168.4.3,48752,-73
192.168.4.6,48752,-80
192.168.4.2,48752,-74
192.168.4.4,48752,-73
192.168.4.3,48768,-73
192.168.4.6,48768,-81
192.168.4.2,48768,-74
192.168.4.4,48768,-74
192.168.4.3,48784,-75
192.168.4.6,48784,-81
192.168.4.2,48784,-74
192.168.4.4,48784,-74
192.168.4.3,48800,-73
192.168.4.6,48800,-81
192.168.4.2,48800,-72
192.168.4.4,48800,-74
192.168.4.3,48816,-74
192.168.4.6,48816,-87
192.168.4.2,48816,-73
192.168.4.4,48816,-72
192.168.4.3,48832,-74
192.168.4.6,48832,-85
192.168.4.2,48832,-73
192.168.4.4,48832,-73
192.168.4.3,48848,-73
192.168.4.6,48848,-89
192.168.4.2,48848,-73
192.168.4.4,48848,-72
192.168.4.3,48864,-72
192.168.4.6,48864,-81
192.168.4.2,48864,-74
192.168.4.4,48864,-72
192.168.4.3,48880,-72
192.168.4.6,48880,-80
