millis,node,x,y,rssi,distance,target_x,target_y
7408,1,0,0,-76.49,33.668,23.8069,23.8069
7408,2,50,0,-77.1248,35.3956,23.8069,23.8069
7408,5,0,50,-77.1248,35.3956,23.8069,23.8069
7508,1,0,0,-76.2953,33.168,23.4533,23.4533
7508,2,50,0,-77.1347,35.4229,23.4533,23.4533
7508,5,0,50,-77.1347,35.4229,23.4533,23.4533
7608,1,0,0,-76.0977,32.668,23.0998,23.0998
7608,2,50,0,-77.1471,35.4573,23.0998,23.0998
7608,5,0,50,-77.1471,35.4573,23.0998,23.0998
7708,1,0,0,-75.897,32.168,22.7462,22.7462
7708,2,50,0,-77.1621,35.4987,22.7462,22.7462
7708,5,0,50,-77.1621,35.4987,22.7462,22.7462
7808,1,0,0,-75.6932,31.668,22.3927,22.3927
7808,2,50,0,-77.1796,35.5471,22.3927,22.3927
7808,5,0,50,-77.1796,35.5471,22.3927,22.3927
7908,1,0,0,-75.4861,31.168,22.0391,22.0391
7908,2,50,0,-77.1997,35.6024,22.0391,22.0391
7908,5,0,50,-77.1997,35.6024,22.0391,22.0391
8008,1,0,0,-75.2757,30.668,21.6856,21.6856
8008,2,50,0,-77.2222,35.6647,21.6856,21.6856
8008,5,0,50,-77.2222,35.6647,21.6856,21.6856
8108,1,0,0,-75.0618,30.168,21.332,21.332
8108,2,50,0,-77.2473,35.7339,21.332,21.332
8108,5,0,50,-77.2473,35.7339,21.332,21.332
8208,1,0,0,-74.8444,29.668,20.9785,20.9785
8208,2,50,0,-77.2747,35.8099,20.9785,20.9785
8208,5,0,50,-77.2747,35.8099,20.9785,20.9785
8308,1,0,0,-74.6232,29.168,20.6249,20.6249
8308,2,50,0,-77.3046,35.8927,20.6249,20.6249
8308,5,0,50,-77.3046,35.8927,20.6249,20.6249
8408,1,0,0,-74.3983,28.668,20.2714,20.2714
8408,2,50,0,-77.3369,35.9822,20.2714,20.2714
8408,5,0,50,-77.3369,35.9822,20.2714,20.2714
8508,1,0,0,-74.1694,28.168,19.9178,19.9178
8508,2,50,0,-77.3715,36.0785,19.9178,19.9178
8508,5,0,50,-77.3715,36.0785,19.9178,19.9178
8608,1,0,0,-73.9364,27.668,19.5642,19.5642
8608,2,50,0,-77.4084,36.1814,19.5642,19.5642
8608,5,0,50,-77.4084,36.1814,19.5642,19.5642
8708,1,0,0,-73.6992,27.168,19.2107,19.2107
8708,2,50,0,-77.4476,36.2909,19.2107,19.2107
8708,5,0,50,-77.4476,36.2909,19.2107,19.2107
8808,1,0,0,-73.4575,26.668,18.8571,18.8571
8808,2,50,0,-77.489,36.407,18.8571,18.8571
8808,5,0,50,-77.489,36.407,18.8571,18.8571
8908,1,0,0,-73.2113,26.168,18.5036,18.5036
8908,2,50,0,-77.5326,36.5295,18.5036,18.5036
8908,5,0,50,-77.5326,36.5295,18.5036,18.5036
9008,1,0,0,-72.9604,25.668,18.15,18.15
9008,2,50,0,-77.5784,36.6585,18.15,18.15
9008,5,0,50,-77.5784,36.6585,18.15,18.15
9108,1,0,0,-72.7045,25.168,17.7965,17.7965
9108,2,50,0,-77.6262,36.7938,17.7965,17.7965
9108,5,0,50,-77.6262,36.7938,17.7965,17.7965
9208,1,0,0,-72.4435,24.668,17.4429,17.4429
9208,2,50,0,-77.676,36.9353,17.4429,17.4429
9208,5,0,50,-77.676,36.9353,17.4429,17.4429
9308,1,0,0,-72.1772,24.168,17.0894,17.0894
9308,2,50,0,-77.7279,37.0831,17.0894,17.0894
9308,5,0,50,-77.7279,37.0831,17.0894,17.0894
